id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,change width,104,45,28,39,320,ship,baseline,monotonic-signal
g002,diagnostic quality,30,31,40,81,204,ship,edge,drag-penalty
g003,review cost,40,27,26,78,238,ship,recovery,confidence-floor
g004,safe rewrite,49,62,21,24,228,ship,negative,lane-boundary
g005,change width,101,12,41,44,232,ship,baseline,monotonic-signal
g006,diagnostic quality,86,25,31,59,278,ship,edge,drag-penalty
g007,review cost,38,34,7,71,272,ship,recovery,confidence-floor
g008,safe rewrite,106,76,17,38,406,ship,negative,lane-boundary
g009,change width,55,64,24,26,242,ship,baseline,monotonic-signal
g010,diagnostic quality,77,61,29,68,354,ship,edge,drag-penalty
g011,review cost,48,27,33,93,270,ship,recovery,confidence-floor
g012,safe rewrite,37,47,36,67,230,ship,negative,lane-boundary
g013,change width,35,25,24,102,276,ship,baseline,monotonic-signal
g014,diagnostic quality,37,51,14,81,310,ship,edge,drag-penalty
g015,review cost,42,32,10,75,278,ship,recovery,confidence-floor
g016,safe rewrite,92,25,31,33,238,ship,negative,lane-boundary
g017,change width,32,59,43,60,216,ship,baseline,monotonic-signal
g018,diagnostic quality,94,8,8,78,344,ship,edge,drag-penalty
g019,review cost,84,55,34,48,306,ship,recovery,confidence-floor
g020,safe rewrite,39,46,28,38,190,ship,negative,lane-boundary
g021,change width,64,44,5,80,366,ship,baseline,monotonic-signal
g022,diagnostic quality,80,46,37,77,332,ship,edge,drag-penalty
g023,review cost,47,49,34,23,170,watch,recovery,confidence-floor
g024,safe rewrite,34,18,13,43,164,watch,negative,lane-boundary
g025,change width,75,70,25,58,356,ship,baseline,monotonic-signal
g026,diagnostic quality,99,34,11,70,384,ship,edge,drag-penalty
g027,review cost,115,18,6,37,328,ship,recovery,confidence-floor
g028,safe rewrite,82,13,26,25,188,watch,negative,lane-boundary
g029,change width,113,13,16,67,354,ship,baseline,monotonic-signal
g030,diagnostic quality,44,50,34,92,304,ship,edge,drag-penalty
g031,review cost,57,36,44,66,230,ship,recovery,confidence-floor
g032,safe rewrite,57,32,9,101,362,ship,negative,lane-boundary
g033,change width,71,67,14,80,408,ship,baseline,monotonic-signal
g034,diagnostic quality,81,17,18,74,308,ship,edge,drag-penalty
g035,review cost,90,30,21,32,262,ship,recovery,confidence-floor
g036,safe rewrite,54,39,9,59,286,ship,negative,lane-boundary
g037,change width,39,11,41,77,172,watch,baseline,monotonic-signal
g038,diagnostic quality,79,69,37,47,316,ship,edge,drag-penalty
g039,review cost,59,66,16,37,292,ship,recovery,confidence-floor
g040,safe rewrite,96,32,28,79,358,ship,negative,lane-boundary
g041,change width,30,52,35,76,246,ship,baseline,monotonic-signal
g042,diagnostic quality,89,30,19,22,244,ship,edge,drag-penalty
g043,review cost,78,56,13,42,326,ship,recovery,confidence-floor
g044,safe rewrite,76,37,32,57,276,ship,negative,lane-boundary
g045,change width,78,30,22,69,310,ship,baseline,monotonic-signal
g046,diagnostic quality,83,64,19,36,328,ship,edge,drag-penalty
g047,review cost,45,13,40,24,84,hold,recovery,confidence-floor
g048,safe rewrite,73,60,10,66,378,ship,negative,lane-boundary
g049,change width,47,51,38,91,302,ship,baseline,monotonic-signal
g050,diagnostic quality,37,49,33,65,236,ship,edge,drag-penalty
g051,review cost,80,51,11,100,440,ship,recovery,confidence-floor
g052,safe rewrite,105,54,43,79,390,ship,negative,lane-boundary
g053,change width,33,23,19,73,220,ship,baseline,monotonic-signal
g054,diagnostic quality,88,75,29,31,330,ship,edge,drag-penalty
g055,review cost,75,39,36,58,272,ship,recovery,confidence-floor
g056,safe rewrite,116,23,41,76,348,ship,negative,lane-boundary
g057,change width,52,18,45,46,142,watch,baseline,monotonic-signal
g058,diagnostic quality,68,18,6,36,232,ship,edge,drag-penalty
g059,review cost,35,55,36,78,264,ship,recovery,confidence-floor
g060,safe rewrite,66,41,26,75,312,ship,negative,lane-boundary
g061,change width,85,37,22,21,242,ship,baseline,monotonic-signal
g062,diagnostic quality,98,72,43,41,336,ship,edge,drag-penalty
g063,review cost,98,22,13,56,326,ship,recovery,confidence-floor
g064,safe rewrite,112,35,20,68,390,ship,negative,lane-boundary
g065,change width,34,44,4,35,218,ship,baseline,monotonic-signal
g066,diagnostic quality,43,16,40,23,84,hold,edge,drag-penalty
g067,review cost,95,74,17,65,434,ship,recovery,confidence-floor
g068,safe rewrite,80,71,7,90,468,ship,negative,lane-boundary
g069,change width,32,37,4,64,258,ship,baseline,monotonic-signal
g070,diagnostic quality,100,57,25,99,462,ship,edge,drag-penalty
g071,review cost,49,35,37,78,250,ship,recovery,confidence-floor
g072,safe rewrite,71,61,23,72,362,ship,negative,lane-boundary
g073,change width,42,42,18,30,192,ship,baseline,monotonic-signal
g074,diagnostic quality,31,35,38,57,170,watch,edge,drag-penalty
g075,review cost,117,69,28,75,466,ship,recovery,confidence-floor
g076,safe rewrite,31,18,4,45,180,watch,negative,lane-boundary
g077,change width,36,65,14,35,244,ship,baseline,monotonic-signal
g078,diagnostic quality,86,56,21,77,396,ship,edge,drag-penalty
g079,review cost,114,54,26,74,432,ship,recovery,confidence-floor
g080,safe rewrite,88,56,30,20,268,ship,negative,lane-boundary
g081,change width,78,59,33,40,288,ship,baseline,monotonic-signal
g082,diagnostic quality,33,28,21,55,190,ship,edge,drag-penalty
g083,review cost,58,10,11,67,248,ship,recovery,confidence-floor
g084,safe rewrite,74,44,7,34,290,ship,negative,lane-boundary
g085,change width,41,28,28,22,126,watch,baseline,monotonic-signal
g086,diagnostic quality,116,23,40,64,326,ship,edge,drag-penalty
g087,review cost,69,23,5,89,352,ship,recovery,confidence-floor
g088,safe rewrite,93,60,31,63,370,ship,negative,lane-boundary
g089,change width,109,46,25,98,456,ship,baseline,monotonic-signal
g090,diagnostic quality,76,42,44,77,302,ship,edge,drag-penalty
g091,review cost,107,77,34,71,442,ship,recovery,confidence-floor
g092,safe rewrite,38,27,31,29,126,watch,negative,lane-boundary
g093,change width,51,40,10,56,274,ship,baseline,monotonic-signal
g094,diagnostic quality,51,49,22,74,304,ship,edge,drag-penalty
g095,review cost,65,21,8,44,244,ship,recovery,confidence-floor
g096,safe rewrite,75,9,45,34,146,watch,negative,lane-boundary
